公告,#genre#
江苏卫视,http://183.129.94.36:4022/rtp/233.50.200.144:5140
江苏卫视,http://125.123.120.15:4022/rtp/233.50.200.144:5140
湖北卫视,http://183.129.94.36:4022/rtp/233.50.200.147:5140
湖北卫视,http://125.123.120.15:4022/rtp/233.50.200.147:5140
广东卫视,http://183.129.94.36:4022/rtp/233.50.200.149:5140
广东卫视,http://125.123.120.15:4022/rtp/233.50.200.149:5140
北京卫视,http://183.129.94.36:4022/rtp/233.50.200.179:5140
北京卫视,http://125.123.120.15:4022/rtp/233.50.200.179:5140
深圳卫视,http://183.129.94.36:4022/rtp/233.50.200.188:5140
深圳卫视,http://125.123.120.15:4022/rtp/233.50.200.188:5140
黑龙江卫视,http://183.129.94.36:4022/rtp/233.50.200.189:5140
黑龙江卫视,http://125.123.120.15:4022/rtp/233.50.200.189:5140
湖南卫视,http://183.129.94.36:4022/rtp/233.50.200.190:5140
湖南卫视,http://125.123.120.15:4022/rtp/233.50.200.190:5140
山东卫视,http://183.129.94.36:4022/rtp/233.50.201.105:5140
山东卫视,http://125.123.120.15:4022/rtp/233.50.201.105:5140
辽宁卫视,http://183.129.94.36:4022/rtp/233.50.201.141:5140
辽宁卫视,http://125.123.120.15:4022/rtp/233.50.201.141:5140
贵州卫视,http://183.129.94.36:4022/rtp/233.50.201.142:5140
贵州卫视,http://125.123.120.15:4022/rtp/233.50.201.142:5140
河南卫视,http://183.129.94.36:4022/rtp/233.50.201.144:5140
河南卫视,http://125.123.120.15:4022/rtp/233.50.201.144:5140
河南卫视,http://222.137.1.98:9999/rtp/225.1.4.254:1300
河南卫视,http://115.60.241.249:2000/rtp/225.1.4.254:1300
东南卫视,http://183.129.94.36:4022/rtp/233.50.201.146:5140
东南卫视,http://125.123.120.15:4022/rtp/233.50.201.146:5140
吉林卫视,http://222.129.139.229:8888/rtp/239.3.1.240:8172
吉林卫视,http://114.243.102.150:8888/rtp/239.3.1.240:8172
广西卫视,http://180.154.8.173:7086/rtp/239.45.0.5:5140
广西卫视,http://101.81.81.14:9998/rtp/239.45.0.5:5140
青海卫视,http://180.154.8.173:7086/rtp/239.45.0.37:5140
青海卫视,http://101.81.81.14:9998/rtp/239.45.0.37:5140
甘肃卫视,http://180.154.8.173:7086/rtp/239.45.0.15:5140
甘肃卫视,http://101.81.81.14:9998/rtp/239.45.0.15:5140
海南卫视,http://180.154.8.173:7086/rtp/239.45.1.81:5140
海南卫视,http://101.81.81.14:9998/rtp/239.45.1.81:5140
三沙卫视,http://180.154.8.173:7086/rtp/239.45.0.56:5140
三沙卫视,http://101.81.81.14:9998/rtp/239.45.0.56:5140
动漫秀场,http://183.129.94.36:4022/rtp/233.50.200.12:5140
动漫秀场,http://125.123.120.15:4022/rtp/233.50.200.12:5140
游戏风云,http://183.129.94.36:4022/rtp/233.50.200.14:5140
游戏风云,http://125.123.120.15:4022/rtp/233.50.200.14:5140
生活时尚,http://183.129.94.36:4022/rtp/233.50.200.15:5140
生活时尚,http://125.123.120.15:4022/rtp/233.50.200.15:5140
法治天地,http://183.129.94.36:4022/rtp/233.50.200.120:5140
法治天地,http://125.123.120.15:4022/rtp/233.50.200.120:5140
金色学堂,http://183.129.94.36:4022/rtp/233.50.200.122:5140
金色学堂,http://125.123.120.15:4022/rtp/233.50.200.122:5140
乐游,http://183.129.94.36:4022/rtp/233.50.200.148:5140
乐游,http://125.123.120.15:4022/rtp/233.50.200.148:5140
中国教育4台,http://183.129.94.36:4022/rtp/233.50.200.162:5140
中国教育4台,http://125.123.120.15:4022/rtp/233.50.200.162:5140
睛彩竞技,http://183.129.94.36:4022/rtp/233.50.202.26:5140
睛彩竞技,http://125.123.120.15:4022/rtp/233.50.202.26:5140
睛彩篮球,http://183.129.94.36:4022/rtp/233.50.202.27:5140
睛彩篮球,http://125.123.120.15:4022/rtp/233.50.202.27:5140
睛彩羽毛球,http://183.129.94.36:4022/rtp/233.50.202.28:5140
睛彩羽毛球,http://125.123.120.15:4022/rtp/233.50.202.28:5140
睛彩广场舞,http://183.129.94.36:4022/rtp/233.50.202.29:5140
睛彩广场舞,http://125.123.120.15:4022/rtp/233.50.202.29:5140
轮播频道,http://183.129.94.36:4022/rtp/233.50.201.116:5140
轮播频道,http://125.123.120.15:4022/rtp/233.50.201.116:5140
